problem,division,league,membershipNumber,teamName,city,weightHeld,longTermRaw,styleRaw,spontaneousRaw,penalty,expectedLongTerm,expectedStyle,expectedSpont,expectedBalsa,expectedTotal,expectedPlace
1,1,"","40408","Szkola Podstawowa nr 1","Wasilkow",0.0,155.0,35.0,131.0,18.0,200.0,40.7,100.0,0.0,322.7,1
1,1,"","46057","Bialostockie Towarzystwo Oswiatowe [A]","Bialystok",0.0,146.0,43.0,112.33,15.0,188.39,50.0,85.75,0.0,309.14,2
1,1,"","43554","Spoleczna Szkola Podstawowa nr 2","Bialystok",0.0,113.5,31.0,112.33,15.0,146.45,36.05,85.75,0.0,253.25,3
1,2,"","72430","Szkola Podstawowa nr 4","Bialystok",0.0,149.0,37.0,120.33,15.0,200.0,50.0,100.0,0.0,335.0,1
2,2,"","46057","Bialostockie Towarzysto Oswiatowe [A]","Bialystok",0.0,144.0,35.0,69.0,20.0,200.0,50.0,100.0,0.0,330.0,1
3,1,"","46057","Bialostockie Towarzysto Oswiatowe [B]","Bialystok",0.0,155.0,41.0,37.67,0.0,200.0,50.0,100.0,0.0,350.0,1
3,1,"","40408","Szkola Podstawowa nr 1","Wasilkow",0.0,155.0,41.0,35.33,0.0,200.0,50.0,93.79,0.0,343.79,2
3,2,"","46057","Bialostockie Towarzysto Oswiatowe [B]","Bialystok",0.0,170.0,43.0,79.0,0.0,200.0,47.78,90.8,0.0,338.58,1
3,2,"","46057","Bialostockie Towarzysto Oswiatowe [A]","Bialystok",0.0,156.0,41.0,87.0,0.0,183.53,45.56,100.0,0.0,329.09,2
3,2,"","40408","Szkola Podstawowa nr 1","Wasilkow",0.0,170.0,45.0,59.0,1.0,200.0,50.0,67.82,0.0,316.82,3
3,2,"","72430","Szkola Podstawowa nr 4","Bialystok",0.0,131.0,39.0,62.0,6.0,154.12,43.33,71.26,0.0,262.71,4
4,1,"","46057","Bialostockie Towarzysto Oswiatowe [B]","Bialystok",92.5,78.0,41.0,131.0,0.0,197.5,50.0,100.0,100.0,347.5,1
4,1,"","46057","Bialostockie Towarzysto Oswiatowe [A]","Bialystok",32.5,80.0,35.0,128.33,0.0,135.14,42.68,97.96,35.14,275.78,2
4,2,"","72405","Augustowskie Stow Kultralno-Spoleczne","Augustow",195.0,92.0,45.0,68.67,0.0,200.0,50.0,95.38,100.0,345.38,1
4,2,"","46057","Bialostockie Towarzysto Oswiatowe [B]","Bialystok",172.5,67.0,41.0,72.0,0.0,161.29,45.56,100.0,88.46,306.85,2
4,2,"","46057","Bialostockie Towarzysto Oswiatowe [A]","Bialystok",127.5,88.0,43.0,70.33,0.0,161.03,47.78,97.68,65.38,306.49,2
4,2,"","41913","Zespol Szkol S.T.O.","Bialystok",177.5,71.0,37.0,64.0,5.0,168.2,41.11,88.89,91.03,293.2,3
4,2,"","43554","Spoleczna Szkola Podstawowa nr 2","Bialystok",112.5,60.0,31.0,64.0,0.0,122.91,34.44,88.89,57.69,246.24,4
5,1,"","41913","Zespol Szkol S.T.O.","Bialystok",0.0,180.0,45.0,45.6,0.0,200.0,50.0,100.0,0.0,350.0,1
5,1,"","46057","Bialostockie Towarzysto Oswiatowe [B]","Bialystok",0.0,165.5,41.0,42.4,0.0,183.89,45.56,92.98,0.0,322.43,2
5,1,"","40408","Szkola Podstawowa nr 1","Wasilkow",0.0,155.0,35.0,23.13,0.0,172.22,38.89,50.72,0.0,261.83,3
5,1,"","43554","Spoleczna Szkola Podstawowa nr 2","Bialystok",0.0,123.0,27.0,11.53,0.0,136.67,30.0,25.29,0.0,191.96,4
5,2,"","43554","Spoleczna Szkola Podstawowa nr 2","Bialystok",0.0,155.0,39.0,51.73,14.0,200.0,43.33,100.0,0.0,329.33,1
5,2,"","42817","Spoleczna Szkola Podstawowa nr 11","Bialystok",0.0,148.0,45.0,42.73,0.0,190.97,50.0,82.6,0.0,323.57,2
5,3,"","72416","ZS Budowlano-Geodezyjnych","Bialystok",0.0,161.0,39.0,48.0,0.0,200.0,50.0,100.0,0.0,350.0,1
