Konkurs,Scena,Dzień występu,Dzień spontana,Problem,Grupa wiekowa,Liga,Część,Godzina występu,Godzina spontana,Kod drużyny,Numer członkowstwa,Drużyna,Miejscowość
Finał,1,sobota,niedziela,3,3,,,8:25,12:45,P3G3_129,72444,Zespół Szkół Zawodowych i Ogólnokształcących - Kartuzy,Kartuzy
Finał,1,sobota,niedziela,3,3,,,8:45,15:30,P3G3_130,72431,Towarzystwo Przyjaciół Szkoły BUDOWLANKA - Kościerzyna,Kościerzyna
Finał,1,sobota,niedziela,3,3,,,9:05,14:20,P3G3_131,42751,Fundacja EDUKACYJNA FERAJNA - Poznań,Poznań
Finał,1,sobota,niedziela,3,3,,,9:45,14:50,P3G3_132,43582,I Publiczne Liceum Ogólnokształcące - Opole,Opole
Finał,1,sobota,niedziela,3,3,,,10:05,15:10,P3G3_133,72435,I Liceum Ogólnokształcące - Bytów,Bytów
Finał,1,sobota,niedziela,3,3,,,10:25,13:25,P3G3_134,44796,II Liceum Ogólnokształcące - Tomaszów Mazowiecki,Tomaszów Mazowiecki
Finał,1,sobota,niedziela,3,3,,,11:05,13:05,P3G3_135,46078,Autorskie Liceum NAVIGO - Wrocław,Wrocław
Finał,1,sobota,niedziela,3,3,,,11:25,12:10,P3G3_136,38564,Szkoła Podstawowa nr 14 - Bydgoszcz,Bydgoszcz
Finał,1,sobota,niedziela,3,3,,,11:45,10:15,P3G3_137,36115,II Liceum Ogólnokształcące - Olsztyn,Olsztyn
Finał,1,sobota,niedziela,3,3,,,12:05,9:20,P3G3_138,47340,Zespół Szkół Elektronicznych i Informatycznych - Sosnowiec,Sosnowiec
Finał,1,sobota,niedziela,3,3,,,12:50,10:35,P3G3_139,46049,IV Liceum Ogólnokształcące - Sosnowiec,Sosnowiec
Finał,1,sobota,niedziela,3,3,,,13:10,9:00,P3G3_140,48031,Stowarzyszenie DASIE - Kraków,Kraków
Finał,1,sobota,niedziela,3,3,,,13:30,11:50,P3G3_141,72410,Niepubliczne Liceum Ogólnokształcące PRACOWNIA - Łódź,Łódź
Finał,1,sobota,niedziela,3,3,,,14:40,9:40,P3G3_142,72445,Kartuskie Centrum Kultury - Kartuzy,Kartuzy
Finał,1,sobota,niedziela,3,3,,,15:00,14:00,P3G3_143,47329,Lubelska Szkoła Realna - Lublin,Lublin
Finał,1,sobota,niedziela,3,3,,,15:40,11:30,P3G3_144,22311,Ośrodek Twórczej Psychoedukacji DAMB - Gdańsk,Gdańsk
Finał,1,sobota,niedziela,3,3,,,16:00,10:55,P3G3_145,42745,Zespół Szkół nr 2 - Dzierżoniów,Dzierżoniów
Finał,1,sobota,niedziela,3,4,,,16:30,14:40,P3G4_146,33957,Szkoła Podstawowa nr 3 - Trzebnica,Trzebnica
Finał,1,niedziela,sobota,5,3,,,8:45,15:10,P5G3_247,22311,Ośrodek Twórczej Psychoedukacji DAMB - Gdańsk,Gdańsk
Finał,1,niedziela,sobota,5,3,,,9:05,11:45,P5G3_248,47910,III Liceum Ogólnokształcące - Olsztyn,Olsztyn
Finał,1,niedziela,sobota,5,3,,,9:25,15:30,P5G3_249,72423,Niepubliczne Liceum Ogólnokształcące ALTUM - Lublin,Lublin
Finał,1,niedziela,sobota,5,3,,,10:05,17:05,P5G3_250,27946,V Liceum Ogólnokształcące - Gdańsk,Gdańsk
Finał,1,niedziela,sobota,5,3,,,10:25,12:05,P5G3_251,72416,Zespół Szkół Budowlano-Geodezyjnych - Białystok,Białystok
Finał,1,niedziela,sobota,5,3,,,11:05,9:35,P5G3_252,41905,Szkoła Podstawowa nr 83 ŁEJERY - Poznań,Poznań
Finał,1,niedziela,sobota,5,3,,,11:25,10:50,P5G3_253,48035,VIII Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie - Katowice,Katowice
Finał,1,niedziela,sobota,5,3,,,11:45,16:05,P5G3_254,48031,Stowarzyszenie DASIE - Kraków,Kraków
Finał,1,niedziela,sobota,5,3,,,12:25,16:45,P5G3_255,47329,Lubelska Szkoła Realna - Lublin,Lublin
Finał,1,niedziela,sobota,5,3,,,12:45,14:15,P5G3_256,47340,Zespół Szkół Elektronicznych i Informatycznych - Sosnowiec,Sosnowiec
Finał,1,niedziela,sobota,5,4,,,13:20,16:45,P5G4_257,43556,Uniwersytet Śląski - Katowice,Katowice
Finał,1,niedziela,sobota,5,3,,,14:45,16:40,P5G3_278_SK,,Centrum Vol’ného Času AHOJ Piešt’any - SLOVAKIA,SLOVAKIA
